source,variant,condition,n,seeds,avg_reward_mean,avg_reward_std,avg_reward_ci95,avg_done_rate_mean,avg_done_rate_std,avg_done_rate_ci95,latent_mse_mean,latent_mse_std,latent_mse_ci95,latent_l1_mean,latent_l1_std,latent_l1_ci95,action_mse_to_teacher_mean,action_mse_to_teacher_std,action_mse_to_teacher_ci95,residual_abs_mean_mean,residual_abs_mean_std,residual_abs_mean_ci95,residual_l2_mean_mean,residual_l2_mean_std,residual_l2_mean_ci95,residual_to_target_ratio_mean,residual_to_target_ratio_std,residual_to_target_ratio_ci95,pred_residual_abs_mean_mean,pred_residual_abs_mean_std,pred_residual_abs_mean_ci95,pred_to_target_ratio_mean,pred_to_target_ratio_std,pred_to_target_ratio_ci95,action_correction_abs_mean_mean,action_correction_abs_mean_std,action_correction_abs_mean_ci95,action_correction_l2_mean_mean,action_correction_l2_mean_std,action_correction_l2_mean_ci95,base_action_mse_to_teacher_mean,base_action_mse_to_teacher_std,base_action_mse_to_teacher_ci95
m2_gap,decode_only,light_v2,3,"42,43,44",0.915083,0.07477983485316529,0.08462134925356425,0.002143,0.00023307652534450285,0.0002637509175128854,0.140678,0.002312819491443289,0.002617201633704721,0.2527936666666667,0.0029948667564499297,0.00338901077092592,0.26439833333333335,0.003760822989128259,0.004255771843689558,,,,,,,,,,,,,,,,,,,,,,,,
m2_gap,decode_only,nominal,3,"42,43,44",0.9097223333333333,0.1383777575222582,0.15658917368845177,0.002089,0.00030688434303496165,0.0003472723258001805,0.139231,0.0017473393106854306,0.001977300569924103,0.2509193333333333,0.001728226322627397,0.0019556721878754685,0.26243,0.006272396724272684,0.007097885076957004,,,,,,,,,,,,,,,,,,,,,,,,
m2_gap,diffusion,hard,3,"42,43,44",1.5724746666666667,0.1921129094227895,0.21739622234129743,0.0018446666666666668,0.0003659301694160908,0.00041408896836129134,0.08657233333333333,0.004364695051076176,0.004939117410832137,0.17989033333333335,0.0038481530057360726,0.004354595060539395,0.16892433333333334,0.011072714040479067,0.012529955486583463,,,,,,,,,,,,,,,,,,,,,,,,
m2_gap,diffusion,light_v2,3,"42,43,44",1.788645,0.27174222998643405,0.3075052812803995,0.0016003333333333334,0.0005953829766535897,0.0006737392628100666,0.08099100000000001,0.001978624269536794,0.0022390241390987014,0.17586333333333334,0.0010931502895556286,0.0012370160033217327,0.15146066666666666,0.005828697071863957,0.0065957916539922615,,,,,,,,,,,,,,,,,,,,,,,,
m2_gap,diffusion,nominal,3,"42,43,44",2.062867333333333,0.11542334089005667,0.13061380598993472,0.0012206666666666666,0.000132680903758688,0.00015014257678274665,0.08039233333333333,0.0016382625620523148,0.0018538686091602123,0.17639033333333334,0.002576731823238284,0.0029158465510811535,0.14631133333333332,0.0020979085352374684,0.002374006992806949,,,,,,,,,,,,,,,,,,,,,,,,
m4_compare_robust,padapt,hard,3,"42,43,44",1.8382246666666666,0.1054584224053358,0.11933743918550642,0.0014106666666666666,0.00013813117758935603,0.00015631014222680162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4_compare_robust,padapt,light_v2,3,"42,43,44",2.079073666666667,0.10264837500364488,0.11615757120285478,0.0012206666666666666,0.0001759059091926388,0.00019905627508785514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4_compare_robust,residual_scale05,hard,3,"42,43,44",1.548885,0.04500361161062514,0.05092638066468359,0.0016276666666666666,0.00030476694192265813,0.0003448762608799256,0.076352,0.003101717373757105,0.0035099236269500555,0.16524766666666668,0.005083069698081614,0.005752034850654218,0.14835366666666666,0.003755638989868727,0.004249905596288336,0.25523233333333334,0.0004549581177304988,0.0005148335758137495,2.340542,0.008459992474385837,0.009573382707560588,1.0774086666666667,0.0038916849250107788,0.004403856064550116,0.196295,0.0010234474420636678,0.0011581398061067095,0.7699643333333334,0.004975932899690474,0.0056307981502473885,0.301035,0.004975256040312558,0.005630032211757063,1.4400893333333333,0.020957989794401166,0.02371619805696305,0.2456303333333333,0.004867343514576393,0.0055079176932229575
m4_compare_robust,residual_scale05,light_v2,3,"42,43,44",1.71137,0.04647184044845515,0.052587838001599725,0.001546,0.00019922516574636512,0.00022544449802310297,0.06806933333333333,0.00413343096658884,0.0046774174632241315,0.15519166666666667,0.00591299362045619,0.0066911821786343655,0.13695133333333334,0.0032875162188024105,0.0037201748128260314,0.25092333333333333,0.0005936364394326026,0.0006717628698900809,2.306834333333333,0.002643983022302183,0.002991948446931573,1.0666723333333332,0.004321561626181964,0.004890307345663598,0.19494899999999998,0.0013766817594007144,0.0015578620653817622,0.778173,0.007412342274881815,0.008387854903148171,0.29649433333333336,0.006342079276984438,0.007176738308466268,1.4234663333333333,0.029660813343909152,0.03356436999423882,0.23881766666666668,0.004894083798038425,0.005538177172538779
m4_compare_robust,residual_unscaled,hard,3,"42,43,44",1.4277553333333333,0.1257668280491941,0.14231856357748207,0.0018446666666666665,0.00013858892051274834,0.0001568281271068804,0.09041533333333333,0.001520494290975435,0.0017206012648640749,0.19038766666666668,0.0011216904900887572,0.0012693122805443671,0.173105,0.0005823097686512523,0.0006589455352977965,0.25371166666666667,0.00154809653732863,0.0017518361470140957,2.3423373333333335,0.020453206665188097,0.023144982172917297,1.0637963333333333,0.0029983889377834454,0.003392996494314358,0.168487,0.0025141695779454945,0.0028450507059257905,0.665035,0.013485522484007278,0.015260305271156531,0.23900166666666667,0.00955120656717721,0.010808207697985147,1.1524896666666666,0.04076901022699581,0.04613447809713526,0.269436,0.0015006674070781503,0.001698165033623709
m4_compare_robust,residual_unscaled,light_v2,3,"42,43,44",1.7674186666666667,0.1930928163799875,0.21850509145051478,0.0013563333333333333,0.00013813117758935606,0.00015631014222680168,0.08138766666666666,0.0028560860553483967,0.0032319656236529013,0.18106233333333333,0.004006528117404834,0.004533813370714991,0.15301333333333333,0.0038748066044929546,0.004384756446877025,0.25068833333333335,0.0018004129773162927,0.0020373590775278724,2.3194216666666665,0.02241211625190474,0.02536169704824692,1.0546936666666666,0.002897767684883632,0.0032791328277164645,0.166983,0.0017017925843063294,0.0019257595970421696,0.6674316666666666,0.01128389803609061,0.0127689326745446,0.237466,0.008466182886441007,0.009580387818250822,1.1495440000000001,0.03677960587970821,0.041620042096462244,0.2601313333333333,0.006472032258537924,0.007323793950674792
m4_nominal_scale05,residual_scale05,nominal,3,"42,43,44",1.5892663333333332,0.0635200320756286,0.07187968293088377,0.0014103333333333333,0.0002765891457659818,0.00031299008281531973,0.09409,0.002788127089403683,0.003155062814180124,0.19949166666666668,0.003170021906689121,0.003587217482281391,0.169102,0.008642964344868411,0.009780434870567985,0.25064733333333333,0.0017427033278469587,0.0019720544614821927,2.3353213333333334,0.010726403446117907,0.012138068157423298,1.0494003333333333,0.0016067047713323385,0.0018181576071844843,0.09371866666666667,0.0008073501236899814,0.0009136026700356693,0.37418666666666667,0.0034590708129335576,0.003914307111386608,0.17166833333333334,0.005947384317683043,0.006730098916105389,0.8327973333333333,0.023774923783030085,0.0269038589463467,0.2732793333333333,0.00373106297037304,0.004222095212204307
